essay_id,session_uuid,model,error_count,messages,score_1,score_2,autoscore,rubric_max_score,rubric1_1,rubric1_2,rubric1_3,rubric1_4,rubric1_5,rubric1_6,rubric1_7,rubric1_8,rubric1_9,rubric2_1,rubric2_2,rubric2_3,rubric2_4,rubric2_5,rubric2_6,rubric2_7,rubric2_8,rubric2_9,autoscore_trait1,autoscore_trait2,autoscore_trait3,autoscore_trait4,autoscore_trait5,autoscore_trait6,autoscore_trait7,autoscore_trait8,autoscore_trait9,,,,,
17846,d1f76efa-1d5f-469b-9e97-260c14e08433,c3h-002,0,,9,10,8,12,2,2,3,2,,,,,,2,2,3,3,,,,,,2,2,2,2,,,,,,,,,,
17847,7f25e401-202f-4b2f-ad52-23faaf15b6ae,c3h-002,0,,9,8,8,12,2,2,2,3,,,,,,2,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
17849,d32b61ab-151e-4bf9-91d5-7cc4bdc0b7df,c3h-002,0,,6,8,9,12,1,2,2,1,,,,,,2,2,2,2,,,,,,3,2,2,2,,,,,,,,,,
17850,8b490f38-a4bf-4444-8573-0f15508969a5,c3h-002,0,,5,7,8,12,2,1,1,1,,,,,,2,2,1,2,,,,,,2,2,2,2,,,,,,,,,,
17851,f7767a9c-8a26-4c73-bc2f-1579a18bc85a,c3h-002,0,,8,8,10,12,2,2,2,2,,,,,,2,2,2,2,,,,,,3,3,2,2,,,,,,,,,,
17852,6d345cf3-2601-48cf-b806-6583ac531add,c3h-002,0,,9,8,10,12,2,3,2,2,,,,,,2,2,2,2,,,,,,3,3,2,2,,,,,,,,,,
17853,2ed9bdce-1ad6-4abe-a015-e32af8452bac,c3h-002,0,,8,8,8,12,2,2,2,2,,,,,,2,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
17854,61099545-cd09-45dd-a0d4-f204c48e0d41,c3h-002,0,,10,11,7,12,2,3,2,3,,,,,,3,3,2,3,,,,,,2,2,2,1,,,,,,,,,,
17856,73e930a9-609e-4966-8ded-36b5a5de1f42,c3h-002,0,,6,8,8,12,1,1,2,2,,,,,,1,2,2,3,,,,,,2,2,2,2,,,,,,,,,,
17857,dcb48936-db25-48af-b04d-e59f62385c7b,c3h-002,0,,9,9,8,12,2,2,2,3,,,,,,2,2,2,3,,,,,,2,2,2,2,,,,,,,,,,
17858,c526c06b-79db-4423-9699-ce164c3745d8,c3h-002,0,,12,12,10,12,3,3,3,3,,,,,,3,3,3,3,,,,,,2,3,2,3,,,,,,,,,,
17859,aec1ded1-c1d2-420d-a9f0-6d5090242f52,c3h-002,0,,9,8,10,12,2,2,2,3,,,,,,2,2,2,2,,,,,,3,3,2,2,,,,,,,,,,
17860,b6c728dc-8f8d-4f1f-a541-bc63fda8099c,c3h-002,0,,8,8,8,12,2,2,2,2,,,,,,2,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
17861,83903ade-3cf0-42e2-9a97-2fc7ecb19637,c3h-002,0,,8,8,10,12,2,2,2,2,,,,,,2,2,2,2,,,,,,3,3,2,2,,,,,,,,,,
17862,8b402ba9-62b2-4d7a-8167-69f6b9598f7b,c3h-002,0,,5,4,5,12,1,1,1,2,,,,,,1,1,1,1,,,,,,2,1,1,1,,,,,,,,,,
17863,df9dbeef-5aa8-45de-9f56-9d467977f142,c3h-002,0,,3,3,8,12,0,1,1,1,,,,,,0,1,1,1,,,,,,2,2,2,2,,,,,,,,,,
17864,d70f6a36-d357-4a50-85ab-7781c7e62f77,c3h-002,0,,6,4,8,12,2,2,1,1,,,,,,1,1,1,1,,,,,,2,2,2,2,,,,,,,,,,
17865,74814921-7b87-4b57-ace8-a3b3936e6fce,c3h-002,0,,9,8,8,12,2,3,2,2,,,,,,2,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
17867,e850fc1f-8c22-43f1-aa61-b24265eaefa7,c3h-002,0,,8,8,11,12,2,2,2,2,,,,,,2,2,2,2,,,,,,3,3,2,3,,,,,,,,,,
17868,c6f7068c-1ce5-4831-9ebd-4b1f77c798dd,c3h-002,0,,8,7,9,12,2,2,2,2,,,,,,2,1,2,2,,,,,,3,2,2,2,,,,,,,,,,
17869,16d4878e-78bc-49b2-b19b-4a47be4664ef,c3h-002,0,,6,5,8,12,1,1,2,2,,,,,,0,1,2,2,,,,,,2,2,2,2,,,,,,,,,,
17870,f437cdb9-c57b-4ab5-8780-965492ea12b0,c3h-002,0,,12,7,7,12,3,3,3,3,,,,,,1,2,2,2,,,,,,2,2,2,1,,,,,,,,,,
17871,ca3eb118-455f-4c8c-a973-fe0a7589866a,c3h-002,0,,12,12,11,12,3,3,3,3,,,,,,3,3,3,3,,,,,,3,3,3,2,,,,,,,,,,
17872,5c0dd94d-3307-4001-99d1-b7c89059ec33,c3h-002,0,,10,8,11,12,2,2,3,3,,,,,,2,2,2,2,,,,,,3,3,2,3,,,,,,,,,,
17873,947c0fc5-d35b-44ce-8bdc-4f2fcea83172,c3h-002,0,,9,7,8,12,2,2,2,3,,,,,,1,1,2,3,,,,,,2,2,2,2,,,,,,,,,,
17874,226a60be-1f56-462f-b903-7d6b905ffb9d,c3h-002,0,,11,9,8,12,3,3,2,3,,,,,,2,2,2,3,,,,,,2,2,2,2,,,,,,,,,,
17875,2a08e225-d4da-4ff2-9ac6-84ba668366c5,c3h-002,0,,7,5,8,12,2,2,2,1,,,,,,1,1,1,2,,,,,,2,2,2,2,,,,,,,,,,
17876,70189b21-49ae-461e-859d-0becb01b3f86,c3h-002,0,,8,11,10,12,2,2,2,2,,,,,,3,3,2,3,,,,,,3,3,2,2,,,,,,,,,,
17878,b1b9f711-6aff-4b58-ab92-5bde3bf3c2e2,c3h-002,0,,4,6,8,12,0,1,1,2,,,,,,0,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
17879,add10fd0-1289-46a5-bfd7-f480877766da,c3h-002,0,,4,3,7,12,1,1,1,1,,,,,,0,1,1,1,,,,,,2,2,2,1,,,,,,,,,,
17880,845461fc-712f-4fa9-b114-3c841e6d6e90,c3h-002,0,,8,8,9,12,2,2,2,2,,,,,,2,2,2,2,,,,,,2,2,2,3,,,,,,,,,,
17881,d9df9247-ed11-4aaa-a1ec-a8ca976de984,c3h-002,0,,6,6,8,12,1,1,2,2,,,,,,1,1,2,2,,,,,,2,2,2,2,,,,,,,,,,
17882,29c5b8e1-9fd8-4cb4-ad00-32e43df3a3bc,c3h-002,0,,6,6,7,12,1,1,2,2,,,,,,1,2,1,2,,,,,,2,2,2,1,,,,,,,,,,
17883,a288c635-8988-4508-93d3-c641abccb937,c3h-002,0,,8,12,7,12,2,2,2,2,,,,,,3,3,3,3,,,,,,2,2,2,1,,,,,,,,,,
17884,7837c1e3-da58-4a34-8286-7cfff7913a3c,c3h-002,0,,12,12,8,12,3,3,3,3,,,,,,3,3,3,3,,,,,,2,2,2,2,,,,,,,,,,
17885,864410a1-7e8d-4ad4-9092-8874fff560aa,c3h-002,0,,4,5,8,12,1,1,1,1,,,,,,2,2,1,0,,,,,,2,2,2,2,,,,,,,,,,
17886,8f07bd1a-0e90-4670-a69f-c60edaf68afa,c3h-002,0,,4,5,9,12,1,1,1,1,,,,,,1,1,1,2,,,,,,2,2,2,3,,,,,,,,,,
17887,45a0b86c-a9b9-44cd-9d76-0c37e5161eea,c3h-002,0,,10,10,10,12,3,3,2,2,,,,,,3,3,2,2,,,,,,3,3,2,2,,,,,,,,,,
17888,beb37ed1-f79f-4657-b325-4c3fcd5b7c9b,c3h-002,0,,8,8,7,12,2,2,2,2,,,,,,2,2,2,2,,,,,,2,2,2,1,,,,,,,,,,
17889,d1e6690b-c83b-49f6-889f-4f9e5ce7e0ff,c3h-002,0,,4,4,8,12,0,1,1,2,,,,,,0,1,1,2,,,,,,2,2,2,2,,,,,,,,,,
17890,6ff63c28-8a2b-41a0-b520-70680b1105ba,c3h-002,0,,7,8,8,12,2,2,1,2,,,,,,2,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
17891,641433f4-947c-4bf9-b9fa-08f85ceb8300,c3h-002,0,,12,8,5,12,3,3,3,3,,,,,,2,2,2,2,,,,,,1,1,1,2,,,,,,,,,,
17892,0d05c4d7-a13e-49a0-b9dc-8bb386ae9822,c3h-002,0,,9,8,11,12,2,3,2,2,,,,,,2,2,2,2,,,,,,3,3,2,3,,,,,,,,,,
17893,96e523fc-50f2-4e77-8b62-a79500484241,c3h-002,0,,8,10,8,12,2,2,2,2,,,,,,3,3,2,2,,,,,,2,2,2,2,,,,,,,,,,
17894,ef412631-9807-4900-a826-64d5929cf790,c3h-002,0,,7,6,8,12,2,2,1,2,,,,,,1,1,2,2,,,,,,2,2,2,2,,,,,,,,,,
17896,dc31a33b-6a51-4f3e-8076-a466191416c0,c3h-002,0,,6,6,7,12,1,1,2,2,,,,,,1,1,2,2,,,,,,2,2,2,1,,,,,,,,,,
17897,d85ff04f-18fb-4e69-ae00-58211cd08962,c3h-002,0,,10,10,9,12,2,2,3,3,,,,,,3,2,2,3,,,,,,3,2,2,2,,,,,,,,,,
17898,f2608c88-6181-4a64-9de6-47cf3be66d68,c3h-002,0,,8,8,9,12,2,2,2,2,,,,,,2,2,2,2,,,,,,3,2,2,2,,,,,,,,,,
17899,09f4c1e1-61ac-4414-92dd-c51519b9b811,c3h-002,0,,12,12,11,12,3,3,3,3,,,,,,3,3,3,3,,,,,,3,3,3,2,,,,,,,,,,
17900,eacc3ebe-d0ab-4bc9-a7ec-2db4e9719141,c3h-002,0,,8,8,8,12,2,2,2,2,,,,,,2,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
17901,2c9ea727-7d11-4ff9-8fbf-a1cf8603d6de,c3h-002,0,,6,4,8,12,2,2,1,1,,,,,,1,1,1,1,,,,,,2,2,2,2,,,,,,,,,,
17902,3d1656e9-4855-4e07-a3be-beae2c3eda45,c3h-002,0,,8,9,8,12,2,2,2,2,,,,,,2,3,2,2,,,,,,2,2,2,2,,,,,,,,,,
17903,8cb6d969-5a15-4aa8-a94c-fb664be68916,c3h-002,0,,5,7,6,12,1,1,1,2,,,,,,2,1,2,2,,,,,,2,2,1,1,,,,,,,,,,
17904,702904cf-ccb9-4521-a36c-19762df340e4,c3h-002,0,,8,9,9,12,2,2,2,2,,,,,,2,2,2,3,,,,,,2,2,2,3,,,,,,,,,,
17905,20d0b7bb-ed9a-45d5-a191-9425fd69d08a,c3h-002,0,,4,4,7,12,1,1,1,1,,,,,,1,1,1,1,,,,,,2,2,2,1,,,,,,,,,,
17906,51921e0b-fc9b-47f3-b00e-6af1d174e6c1,c3h-002,0,,10,12,7,12,2,2,3,3,,,,,,3,3,3,3,,,,,,2,2,2,1,,,,,,,,,,
17908,bd21b116-d27c-4965-b163-c3b73d7b178b,c3h-002,0,,12,12,10,12,3,3,3,3,,,,,,3,3,3,3,,,,,,3,3,2,2,,,,,,,,,,
17909,866edbec-aa66-479a-97bc-7b5f6f56feb6,c3h-002,0,,10,11,11,12,3,3,2,2,,,,,,3,3,2,3,,,,,,3,3,2,3,,,,,,,,,,
17910,81e3df40-d005-4361-81f3-d5059a81bd16,c3h-002,0,,8,11,10,12,3,2,2,1,,,,,,3,3,3,2,,,,,,3,3,2,2,,,,,,,,,,
17911,488ce2e6-437e-4575-b6bb-640f23e414e0,c3h-002,0,,8,11,7,12,2,2,2,2,,,,,,3,3,2,3,,,,,,2,2,2,1,,,,,,,,,,
17912,f305870f-17a2-4042-aa5b-54c5e97016d8,c3h-002,0,,4,8,7,12,1,1,1,1,,,,,,2,2,2,2,,,,,,2,2,2,1,,,,,,,,,,
17913,7c7758bf-7f0b-4f51-ab4f-c112bd274093,c3h-002,0,,8,8,8,12,2,2,2,2,,,,,,1,2,2,3,,,,,,2,2,2,2,,,,,,,,,,
17914,db386919-701f-4434-89bd-7e4eae09d0e8,c3h-002,0,,6,6,10,12,0,1,3,2,,,,,,0,2,2,2,,,,,,3,3,2,2,,,,,,,,,,
17915,ada490f5-181b-42de-bf54-111e9f37744d,c3h-002,0,,8,7,9,12,2,2,2,2,,,,,,2,2,2,1,,,,,,2,2,2,3,,,,,,,,,,
17916,9247c395-612d-4b48-9c81-8962c68e8ba7,c3h-002,0,,5,4,8,12,1,1,1,2,,,,,,1,1,1,1,,,,,,2,3,2,1,,,,,,,,,,
17917,67595add-1ba7-41c5-ab99-c6eba41d03a4,c3h-002,0,,3,5,8,12,1,1,0,1,,,,,,2,1,1,1,,,,,,2,2,2,2,,,,,,,,,,
17918,98c53a0f-8e6a-44c5-a754-c71b193f5bd5,c3h-002,0,,8,6,10,12,2,2,2,2,,,,,,2,1,1,2,,,,,,3,3,2,2,,,,,,,,,,
17919,3b0ae8df-7ebe-4de5-ba59-dba7c9957067,c3h-002,0,,12,11,9,12,3,3,3,3,,,,,,3,3,2,3,,,,,,3,2,2,2,,,,,,,,,,
17920,3b163c20-b2b8-45ee-aec5-61df6d6c9ff5,c3h-002,0,,6,8,10,12,1,1,2,2,,,,,,2,2,2,2,,,,,,3,3,2,2,,,,,,,,,,
17921,cb811e26-afa7-4ddc-bad6-ee24ff9a7bc4,c3h-002,0,,5,5,8,12,1,1,2,1,,,,,,1,1,2,1,,,,,,2,2,2,2,,,,,,,,,,
17922,e4dacd3e-e849-4751-b7ae-bd3a438351e8,c3h-002,0,,9,8,10,12,2,2,2,3,,,,,,2,2,2,2,,,,,,3,3,2,2,,,,,,,,,,
17923,d6332a98-4559-4183-b78d-60da341f4331,c3h-002,0,,12,9,10,12,3,3,3,3,,,,,,2,2,2,3,,,,,,3,3,2,2,,,,,,,,,,
17924,ee6c41f7-f788-41ae-aa7e-ec8c7736f7a0,c3h-002,0,,12,12,8,12,3,3,3,3,,,,,,3,3,3,3,,,,,,2,2,2,2,,,,,,,,,,
17926,a8efcf2a-10b5-4b23-9715-de89a4567776,c3h-002,0,,10,11,8,12,2,3,2,3,,,,,,3,3,2,3,,,,,,2,2,2,2,,,,,,,,,,
17927,06a7c6d5-9bf6-4efe-b35b-4620d9f546d1,c3h-002,0,,3,3,4,12,1,1,1,0,,,,,,1,1,1,0,,,,,,1,1,1,1,,,,,,,,,,
17928,341749ba-dd8b-4dfe-9457-0efdb92ced81,c3h-002,0,,6,6,8,12,1,1,2,2,,,,,,1,2,2,1,,,,,,2,2,2,2,,,,,,,,,,
17930,d44dea10-5132-4dc8-bbf7-2be9f8e3555b,c3h-002,0,,9,12,10,12,2,2,2,3,,,,,,3,3,3,3,,,,,,2,3,2,3,,,,,,,,,,
17931,efdb8cc2-be85-448f-b8ab-c7a798dea1c3,c3h-002,1,Incorrect number of criteria returned: 1 of 4 ,12,12,0,12,3,3,3,3,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,
17932,46c58fe5-de6a-49d6-be59-49a6f6744ee0,c3h-002,0,,12,12,11,12,3,3,3,3,,,,,,3,3,3,3,,,,,,3,3,2,3,,,,,,,,,,
17933,19b4b21a-6b8d-4464-9d45-c22d45aa9a8e,c3h-002,0,,7,8,8,12,1,2,2,2,,,,,,2,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
17935,70dbac49-9cb0-41ff-a39c-5edbc741b8de,c3h-002,0,,8,6,8,12,2,2,2,2,,,,,,2,2,1,1,,,,,,2,2,2,2,,,,,,,,,,
17936,c705b63f-27e4-4795-84fb-9e5accee4a7b,c3h-002,0,,3,6,8,12,0,1,1,1,,,,,,1,1,2,2,,,,,,2,2,2,2,,,,,,,,,,
17937,f9a8e892-58cd-465e-8e03-a6f3db2651a8,c3h-002,0,,5,4,8,12,1,1,1,2,,,,,,1,1,1,1,,,,,,2,2,2,2,,,,,,,,,,
17938,69d18f82-afe2-4d88-babb-850d821b77fb,c3h-002,0,,5,4,8,12,0,1,2,2,,,,,,0,1,1,2,,,,,,2,2,2,2,,,,,,,,,,
17939,e547dc03-60f7-42fd-a196-e4e27e5b21a2,c3h-002,0,,10,12,10,12,2,2,3,3,,,,,,3,3,3,3,,,,,,3,2,2,3,,,,,,,,,,
17940,0809aa64-75ee-4be7-a746-c3a6a079cc4b,c3h-002,0,,4,4,8,12,1,1,1,1,,,,,,1,1,1,1,,,,,,2,2,2,2,,,,,,,,,,
17941,34dd9dbf-d36b-44c6-ab45-c2c48cf65d7a,c3h-002,0,,7,8,8,12,2,2,2,1,,,,,,2,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
17942,053d5b56-c532-4f09-b47f-c338df257345,c3h-002,0,,9,11,10,12,2,2,3,2,,,,,,2,3,3,3,,,,,,3,3,2,2,,,,,,,,,,
17943,ec398935-3f66-43b0-9574-81ad60ce7b4f,c3h-002,0,,4,6,7,12,1,1,1,1,,,,,,2,2,1,1,,,,,,2,2,2,1,,,,,,,,,,
17944,22ecee5c-e9fd-415f-bc6b-bf982eaeab14,c3h-002,0,,8,10,8,12,2,2,2,2,,,,,,3,3,2,2,,,,,,2,2,2,2,,,,,,,,,,
17945,a0b4442d-11e5-4d92-90e6-38e684702976,c3h-002,0,,10,8,10,12,3,3,2,2,,,,,,0,2,3,3,,,,,,3,3,2,2,,,,,,,,,,
17946,24df87b8-63e9-485a-a873-7fa95755814e,c3h-002,0,,6,8,9,12,1,2,1,2,,,,,,2,2,2,2,,,,,,2,3,2,2,,,,,,,,,,
17947,e1fd4816-aa94-4aee-bdaa-4641528a574c,c3h-002,0,,12,11,10,12,3,3,3,3,,,,,,3,3,2,3,,,,,,3,3,2,2,,,,,,,,,,
17949,0cc1b9f5-c5f3-42d2-bb09-959e3cc68d07,c3h-002,0,,3,3,7,12,0,1,1,1,,,,,,0,1,1,1,,,,,,2,2,2,1,,,,,,,,,,
17950,add3d648-9cb0-4d85-8ad4-50a3a8b713c9,c3h-002,0,,6,5,8,12,1,1,2,2,,,,,,1,1,1,2,,,,,,2,2,2,2,,,,,,,,,,
17951,be63a10f-3f9d-42ad-a4d0-962ac365cced,c3h-002,0,,5,4,9,12,1,1,1,2,,,,,,1,1,1,1,,,,,,2,2,2,3,,,,,,,,,,
17952,d51e5f9e-8a9b-4228-a472-516322f58ace,c3h-002,0,,10,11,8,12,2,3,2,3,,,,,,2,3,3,3,,,,,,2,2,2,2,,,,,,,,,,
17953,611d93be-f033-4a3a-a673-defa55e10c6d,c3h-002,0,,8,8,8,12,2,2,2,2,,,,,,2,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
17954,e3ecb437-9283-46ae-b664-5b2a0ec81202,c3h-002,0,,7,4,10,12,2,2,1,2,,,,,,1,1,1,1,,,,,,3,3,2,2,,,,,,,,,,
17955,59019265-b366-4350-9a19-d69be51796ca,c3h-002,0,,12,8,10,12,3,3,3,3,,,,,,1,1,3,3,,,,,,3,3,2,2,,,,,,,,,,
17957,43e0fcab-c309-464d-aa22-7982c2557830,c3h-002,0,,3,5,8,12,0,1,1,1,,,,,,0,1,2,2,,,,,,2,2,2,2,,,,,,,,,,
17959,5578d309-a0cb-4aa0-b1ca-e47068707429,c3h-002,0,,4,3,8,12,0,1,1,2,,,,,,0,1,1,1,,,,,,2,2,2,2,,,,,,,,,,
17961,0f680750-1c3c-42f2-abda-f207b1f79880,c3h-002,0,,8,9,7,12,2,2,2,2,,,,,,2,2,2,3,,,,,,2,2,2,1,,,,,,,,,,
17962,ffcbe003-ef1a-4340-9bec-f32398e6e326,c3h-002,0,,7,7,8,12,0,2,2,3,,,,,,0,2,2,3,,,,,,2,2,2,2,,,,,,,,,,
17963,a49a5acf-f61f-44e6-a65a-34d4fd4f4d18,c3h-002,0,,11,11,7,12,3,3,3,2,,,,,,3,3,3,2,,,,,,2,2,2,1,,,,,,,,,,
17964,32b5cd7c-0967-4ecb-9f2b-bac80d3f56a2,c3h-002,0,,9,12,9,12,2,2,2,3,,,,,,3,3,3,3,,,,,,2,2,2,3,,,,,,,,,,
17965,c8bfeb93-4b18-4273-a07f-1e80c16b72ee,c3h-002,0,,6,6,8,12,1,2,1,2,,,,,,1,1,2,2,,,,,,2,2,2,2,,,,,,,,,,
17966,f30b4fed-cd5e-4d6f-bcbf-66cc1fb0095b,c3h-002,0,,8,10,8,12,2,2,2,2,,,,,,2,3,2,3,,,,,,2,2,2,2,,,,,,,,,,
17967,94824acd-646b-486e-acfa-262ffd4d49c3,c3h-002,0,,8,4,8,12,2,2,2,2,,,,,,1,1,1,1,,,,,,2,2,2,2,,,,,,,,,,
17968,b149e8df-966a-43f5-8092-fb83f453de68,c3h-002,0,,10,9,10,12,2,2,3,3,,,,,,2,2,2,3,,,,,,3,3,2,2,,,,,,,,,,
17969,d863ad41-4617-484b-8311-9b341982c2ff,c3h-002,0,,8,8,7,12,2,2,2,2,,,,,,2,2,2,2,,,,,,2,2,2,1,,,,,,,,,,
17970,3aabf319-8bfa-4098-938d-8c43bcd7163d,c3h-002,0,,6,5,8,12,1,2,1,2,,,,,,0,1,2,2,,,,,,2,2,2,2,,,,,,,,,,
17971,2b3b833b-f640-487c-b85f-dd8db6bde9fa,c3h-002,0,,9,9,8,12,2,3,2,2,,,,,,2,2,3,2,,,,,,2,2,2,2,,,,,,,,,,
17973,8fb4c9d2-750d-447b-b3a1-f6ebfc11ba95,c3h-002,0,,7,8,9,12,2,2,1,2,,,,,,2,2,2,2,,,,,,2,3,2,2,,,,,,,,,,
17974,e55fdf15-5244-42b2-8160-5ae369244240,c3h-002,0,,8,9,8,12,2,2,2,2,,,,,,2,2,2,3,,,,,,2,2,2,2,,,,,,,,,,
17975,296c01cc-40b1-4b10-878d-5bf347ad136d,c3h-002,0,,8,8,10,12,2,2,2,2,,,,,,2,2,2,2,,,,,,3,3,2,2,,,,,,,,,,
17976,b238468b-f09b-434b-bf01-8757864cbc4e,c3h-002,0,,5,4,9,12,0,1,2,2,,,,,,0,1,1,2,,,,,,2,2,2,3,,,,,,,,,,
17977,7346ba4c-b958-46cf-88f8-5930e8cb9b0f,c3h-002,0,,8,8,9,12,2,2,2,2,,,,,,2,2,2,2,,,,,,2,3,2,2,,,,,,,,,,
17978,1a434b51-0a9b-41d9-9062-e5fa350ea30e,c3h-002,0,,4,5,6,12,1,1,1,1,,,,,,1,1,2,1,,,,,,2,2,1,1,,,,,,,,,,
17979,c1f8f870-0288-4ceb-b6dc-6c706d4c0780,c3h-002,0,,10,7,8,12,2,3,2,3,,,,,,2,2,2,1,,,,,,2,2,2,2,,,,,,,,,,
17980,26450ec1-ddb1-4eec-85df-fae770f5826e,c3h-002,0,,12,12,10,12,3,3,3,3,,,,,,3,3,3,3,,,,,,3,3,2,2,,,,,,,,,,
17981,814cb4bc-730a-4a98-96ae-e7c25b223795,c3h-002,0,,6,5,10,12,0,2,2,2,,,,,,1,1,1,2,,,,,,3,3,2,2,,,,,,,,,,
17982,906e7376-edf4-4113-8ac7-ac564373e418,c3h-002,0,,5,4,7,12,1,2,1,1,,,,,,1,1,1,1,,,,,,2,2,2,1,,,,,,,,,,
17983,549228e5-3d09-4a2c-9853-8da46a843516,c3h-002,0,,8,10,6,12,2,2,2,2,,,,,,3,3,2,2,,,,,,2,2,1,1,,,,,,,,,,
17984,efbf36d7-dfa6-4d38-894d-95d7b0bc7f58,c3h-002,0,,9,9,8,12,2,2,2,3,,,,,,2,2,2,3,,,,,,2,2,2,2,,,,,,,,,,
17985,e4def7c0-f40b-4c4e-a1fc-fae510fc1d1f,c3h-002,0,,5,9,8,12,1,1,2,1,,,,,,2,2,2,3,,,,,,2,2,2,2,,,,,,,,,,
17986,daffcf1e-47c2-42f8-88e1-8bcbbadd4312,c3h-002,0,,8,9,9,12,2,2,2,2,,,,,,2,2,2,3,,,,,,3,2,2,2,,,,,,,,,,
17987,20945628-89a7-4b96-9cc3-ee963dff9136,c3h-002,0,,10,8,6,12,2,2,3,3,,,,,,2,2,2,2,,,,,,2,2,1,1,,,,,,,,,,
17988,b2013e9b-9c74-47ba-8cbf-c7bb4f7e2a1e,c3h-002,0,,8,7,10,12,2,2,2,2,,,,,,1,2,2,2,,,,,,3,3,2,2,,,,,,,,,,
17989,1a193e3a-2312-42eb-9b34-a62ce254604d,c3h-002,0,,7,6,7,12,2,1,2,2,,,,,,2,1,2,1,,,,,,2,2,2,1,,,,,,,,,,
17990,8f212d82-3f80-4bcc-a147-2be06ede6341,c3h-002,0,,5,6,7,12,1,1,1,2,,,,,,0,1,2,3,,,,,,2,2,2,1,,,,,,,,,,
17991,ebe8ba39-1593-44a5-ae80-1d2e454a0cba,c3h-002,0,,12,12,12,12,3,3,3,3,,,,,,3,3,3,3,,,,,,3,3,3,3,,,,,,,,,,
17992,c5ef0e64-8673-4dac-a7e2-249e2e897724,c3h-002,0,,3,4,5,12,0,1,1,1,,,,,,0,1,1,2,,,,,,1,1,1,2,,,,,,,,,,
17993,487e4388-604f-47d1-8217-387fb91e5786,c3h-002,0,,9,8,8,12,3,3,2,1,,,,,,2,2,2,2,,,,,,2,2,2,2,,,,,,,,,,
17996,f50fcf1d-4bde-4c15-b5c5-36d13c0520f2,c3h-002,0,,7,4,8,12,2,2,2,1,,,,,,1,1,1,1,,,,,,2,2,2,2,,,,,,,,,,
17997,f5832953-061d-4c05-915e-59f3867e0bdf,c3h-002,0,,6,10,10,12,2,2,1,1,,,,,,2,3,2,3,,,,,,3,3,2,2,,,,,,,,,,
